,image,age,gender,ethinicity
0,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/7_1_1_20170116225209209.jpg.chip.jpg,7,1,1
1,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/6_1_2_20161219190216289.jpg.chip.jpg,6,1,2
2,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/8_1_0_20170109204933562.jpg.chip.jpg,8,1,0
3,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/1_1_2_20161219161741126.jpg.chip.jpg,1,1,2
4,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/45_0_0_20170117135225261.jpg.chip.jpg,45,0,0
5,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/52_0_0_20170104211941860.jpg.chip.jpg,52,0,0
6,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/58_0_0_20170111195305743.jpg.chip.jpg,58,0,0
7,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/24_0_3_20170117150043934.jpg.chip.jpg,24,0,3
8,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/24_1_2_20170116161931674.jpg.chip.jpg,24,1,2
9,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/27_0_1_20170116024006905.jpg.chip.jpg,27,0,1
10,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/39_0_2_20170117154247371.jpg.chip.jpg,39,0,2
11,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/39_0_2_20170104204400674.jpg.chip.jpg,39,0,2
12,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/49_1_0_20170104204953660.jpg.chip.jpg,49,1,0
13,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/3_1_2_20161219195114043.jpg.chip.jpg,3,1,2
14,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/36_0_0_20170117202645622.jpg.chip.jpg,36,0,0
15,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/36_0_4_20170113133645566.jpg.chip.jpg,36,0,4
16,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/31_0_1_20170113175708996.jpg.chip.jpg,31,0,1
17,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/7_1_0_20170109204556280.jpg.chip.jpg,7,1,0
18,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/21_1_3_20170104231324474.jpg.chip.jpg,21,1,3
19,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/21_1_2_20170116170710327.jpg.chip.jpg,21,1,2
20,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/1_1_4_20161221202528425.jpg.chip.jpg,1,1,4
21,/scratch/storage0/be20b032/Feature-Sieve-for-RL/Feature-Sieve-for-Regression/Data/UTKFace/5_1_3_20161219230446729.jpg.chip.jpg,5,1,3
