Dataset,Male Young Counts,Male Old Counts,Female Young Counts,Female Old Counts,Total Counts
Complete Dataset,6266,1096,6133,728,14223
No Bias Dataset,2249,377,2115,259,5000
Training Dataset 0,4000,0,277,722,4999
Training Dataset 1,2500,0,1832,668,5000
Training Dataset 2,3000,0,1370,630,5000
Training Dataset 3,2500,0,1832,668,5000
Training Dataset 4,1723,277,3000,0,5000
Training Dataset 5,1156,844,3000,0,5000
Training Dataset 6,4000,0,856,143,4999
Training Dataset 7,4000,0,277,722,4999
Training Dataset 8,1000,0,3576,424,5000
Training Dataset 9,3000,0,1693,307,5000
