Dataset,CNN,Margin,Cross Entropy,Ordinal
Complete Dataset,56.15425491333008,17.45928192138672,24.52018928527832,15.863811492919922
No bias Dataset,69.34732055664062,16.379419326782227,14.648202896118164,21.72351837158203
Training Dataset 0,257.55804443359375,13.091160774230957,17.349498748779297,16.427152633666992
Training Dataset 1,286.4010925292969,8.863682746887207,9.47861385345459,13.476275444030762
Training Dataset 2,150.0679931640625,16.29596519470215,17.5035343170166,13.969059944152832
Training Dataset 3,244.1696319580078,8.201126098632812,17.553796768188477,20.692245483398438
Training Dataset 4,139.213134765625,15.08637809753418,11.275715827941895,19.37872886657715
Training Dataset 5,607.3909301757812,11.782672882080078,14.386482238769531,24.33289909362793
Training Dataset 6,33.295372009277344,12.921010971069336,13.754068374633789,8.166376113891602
Training Dataset 7,108.04690551757812,13.496070861816406,38.74126052856445,18.43549346923828
Training Dataset 8,38.428306579589844,16.84832763671875,7.701076507568359,9.362974166870117
Training Dataset 9,116.26121520996094,11.043302536010742,10.42784595489502,10.406707763671875
