Dataset,CNN,Margin,Cross Entropy,Ordinal
Complete Dataset,1379.635009765625,65.30409240722656,40.19774627685547,24.804845809936523
No bias Dataset,1300.907470703125,30.617488861083984,41.02885055541992,54.0228271484375
Training Dataset 0,0.0,0.0,0.0,0.0
Training Dataset 1,0.0,0.0,0.0,0.0
Training Dataset 2,0.0,0.0,0.0,0.0
Training Dataset 3,0.0,0.0,0.0,0.0
Training Dataset 4,510.1119689941406,26.31126594543457,11.385064125061035,20.611373901367188
Training Dataset 5,1211.5380859375,41.45204544067383,44.449134826660156,56.01065444946289
Training Dataset 6,0.0,0.0,0.0,0.0
Training Dataset 7,0.0,0.0,0.0,0.0
Training Dataset 8,0.0,0.0,0.0,0.0
Training Dataset 9,0.0,0.0,0.0,0.0
