Dataset,CNN,Margin,Cross Entropy,Ordinal
Complete Dataset,1595.219482421875,34.38544845581055,32.04509735107422,36.9139289855957
No bias Dataset,1941.0302734375,27.653242111206055,24.22655487060547,32.34956741333008
Training Dataset 0,1666.1103515625,50.550865173339844,38.563724517822266,60.1045036315918
Training Dataset 1,1361.4605712890625,65.0550765991211,32.515682220458984,36.98624801635742
Training Dataset 2,1029.7576904296875,35.87983322143555,31.80242347717285,45.909854888916016
Training Dataset 3,1421.003662109375,29.62944793701172,17.62795639038086,62.38126754760742
Training Dataset 4,0.0,0.0,0.0,0.0
Training Dataset 5,0.0,0.0,0.0,0.0
Training Dataset 6,379.3742980957031,11.580558776855469,38.4310188293457,66.27288055419922
Training Dataset 7,1427.4129638671875,67.32433319091797,38.81819152832031,20.943254470825195
Training Dataset 8,775.8995971679688,24.28656005859375,26.72941780090332,54.018924713134766
Training Dataset 9,851.6881103515625,19.912683486938477,13.12784194946289,11.935661315917969
