Dataset,CNN,Margin,Cross Entropy,Ordinal
Complete Dataset,117.07390594482422,22.527719497680664,19.568214416503906,23.772897720336914
No bias Dataset,101.38340759277344,16.501440048217773,13.131715774536133,19.246315002441406
Training Dataset 0,568.4252319335938,61.817848205566406,74.35884857177734,17.219024658203125
Training Dataset 1,102.00167846679688,56.666378021240234,22.425762176513672,23.69181251525879
Training Dataset 2,75.41126251220703,27.52396583557129,31.251781463623047,25.835744857788086
Training Dataset 3,107.97808074951172,25.56713104248047,49.9088249206543,37.506439208984375
Training Dataset 4,137.4092254638672,8.23841381072998,10.772904396057129,9.978178024291992
Training Dataset 5,329.50146484375,8.406868934631348,7.809933662414551,10.398503303527832
Training Dataset 6,73.39484405517578,16.561784744262695,19.32006072998047,21.03141212463379
Training Dataset 7,397.8471374511719,75.49897003173828,55.964256286621094,30.806564331054688
Training Dataset 8,67.8145523071289,13.41893482208252,16.141420364379883,27.636241912841797
Training Dataset 9,102.18030548095703,20.68793487548828,15.863838195800781,25.958858489990234
