iter	Logloss
0	0.5528561188
1	0.4961238635
2	0.4616446103
3	0.4443041503
4	0.4338925362
5	0.427117134
6	0.4206660696
7	0.4137036655
8	0.4070881074
9	0.4011175421
10	0.3964852162
11	0.3921956386
12	0.3879325717
13	0.3857672336
14	0.3836437385
15	0.3815581142
16	0.3763878945
17	0.3743155848
18	0.3715755708
19	0.3689424774
20	0.3657950397
21	0.3642126013
22	0.3599732752
23	0.3580261743
24	0.3570337727
25	0.3551570726
26	0.3520086334
27	0.3504676844
28	0.3475595437
29	0.3449751209
30	0.3432277716
31	0.3415221321
32	0.3397151764
33	0.3372696482
34	0.3342333268
35	0.3331561705
36	0.3305767117
37	0.3289840795
38	0.3269059676
39	0.3253053456
40	0.3236873284
41	0.3209566636
42	0.3198947456
43	0.3187028276
44	0.3162328036
45	0.3143411599
46	0.3135289761
47	0.311808962
48	0.3103303979
49	0.3084274609
