iter	Passed	Remaining
0	51	2547
1	91	2187
2	97	1535
3	112	1288
4	116	1045
5	148	1088
6	160	987
7	173	913
8	181	826
9	184	737
10	227	808
11	230	730
12	232	662
13	235	604
14	237	554
15	239	509
16	242	469
17	244	434
18	246	402
19	249	373
20	251	347
21	253	323
22	256	301
23	258	280
24	260	260
25	263	242
26	274	233
27	277	217
28	280	202
29	282	188
30	285	174
31	287	161
32	291	150
33	294	138
34	298	127
35	300	117
36	303	106
37	305	96
38	308	87
39	311	77
40	315	69
41	319	60
42	322	52
43	324	44
44	328	36
45	331	28
46	334	21
47	337	14
48	340	6
49	346	0
