,image,age,gender,ethinicity
0,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/30_1_2_20170116165039591.jpg.chip.jpg,30,1,2
1,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/39_1_0_20170117154454831.jpg.chip.jpg,39,1,0
2,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/28_1_1_20170117022229804.jpg.chip.jpg,28,1,1
3,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/30_1_1_20170112234441897.jpg.chip.jpg,30,1,1
4,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/53_1_0_20170110160643219.jpg.chip.jpg,53,1,0
5,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/85_1_0_20170120222302478.jpg.chip.jpg,85,1,0
6,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/32_1_1_20170116175409630.jpg.chip.jpg,32,1,1
7,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/31_1_0_20170104181343268.jpg.chip.jpg,31,1,0
8,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/67_1_0_20170110131843433.jpg.chip.jpg,67,1,0
9,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/46_1_1_20170117155904640.jpg.chip.jpg,46,1,1
10,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/66_1_0_20170110140952713.jpg.chip.jpg,66,1,0
11,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/1_1_2_20161219162024742.jpg.chip.jpg,1,1,2
12,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/30_1_0_20170117135302551.jpg.chip.jpg,30,1,0
13,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/51_1_0_20170117173726343.jpg.chip.jpg,51,1,0
14,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/34_1_0_20170103182645609.jpg.chip.jpg,34,1,0
15,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/85_1_0_20170110181324285.jpg.chip.jpg,85,1,0
16,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/65_1_0_20170110150303627.jpg.chip.jpg,65,1,0
17,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/32_1_1_20170117134806214.jpg.chip.jpg,32,1,1
18,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/105_1_0_20170112213507183.jpg.chip.jpg,105,1,0
19,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/37_1_0_20170104165756313.jpg.chip.jpg,37,1,0
20,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/74_1_0_20170120225441633.jpg.chip.jpg,74,1,0
21,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/60_1_1_20170120222504473.jpg.chip.jpg,60,1,1
22,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/66_1_0_20170110132135290.jpg.chip.jpg,66,1,0
23,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/30_1_2_20170116174642075.jpg.chip.jpg,30,1,2
24,/scratch/storage0/be20b032/Feature-Sieve-for-RL/UTKFace/Data/UTKFace/40_1_1_20170113001848827.jpg.chip.jpg,40,1,1
