Dataset,CNN,Margin,Cross Entropy,Ordinal
Complete Dataset,795.257342338562,27.329405546188354,34.27581167221069,38.13694405555725
No bias Dataset,823.8081817626953,18.862250328063965,23.27913808822632,37.950663566589355
Training Dataset 0,800.8260904947916,29.48258686065674,31.944855372111004,42.0278263092041
Training Dataset 1,563.303466796875,15.303271293640137,24.661768913269043,102.57031853993733
Training Dataset 2,411.1434377034505,30.530757586161297,27.689085642496746,38.907772382100426
Training Dataset 3,526.0082422892252,20.474646250406902,34.33961741129557,26.593934377034504
Training Dataset 4,229.3742218017578,15.697295506795248,15.418021202087402,14.742578188578287
Training Dataset 5,741.7049763997396,15.896328767140707,13.85143772761027,33.030714670817055
Training Dataset 6,168.29560343424478,14.182971000671387,21.13045374552409,10.986843427022299
Training Dataset 7,591.2399495442709,14.732881863911947,51.46619542439779,23.77420997619629
Training Dataset 8,286.11657842000324,20.24209976196289,15.149287541707357,13.841325759887695
Training Dataset 9,379.2763315836589,13.202271143595377,15.40134080251058,35.574768702189125
