Dataset,CNN,Margin,Cross Entropy,Ordinal
Complete Dataset,1332.74951171875,35.6284065246582,45.20811462402344,62.96074676513672
No bias Dataset,1366.2672119140625,20.649173736572266,28.01349639892578,51.59244918823242
Training Dataset 0,0.0,0.0,0.0,0.0
Training Dataset 1,0.0,0.0,0.0,0.0
Training Dataset 2,0.0,0.0,0.0,0.0
Training Dataset 3,0.0,0.0,0.0,0.0
Training Dataset 4,429.74957275390625,21.109033584594727,25.042362213134766,14.13760757446289
Training Dataset 5,1271.0394287109375,30.65521240234375,20.939931869506836,66.22906494140625
Training Dataset 6,0.0,0.0,0.0,0.0
Training Dataset 7,0.0,0.0,0.0,0.0
Training Dataset 8,0.0,0.0,0.0,0.0
Training Dataset 9,0.0,0.0,0.0,0.0
