Dataset,CNN,Margin,Cross Entropy,Ordinal
Complete Dataset,1782.2542724609375,76.76709747314453,50.120662689208984,22.72328758239746
No bias Dataset,1680.3204345703125,47.84490966796875,58.15044403076172,52.63600540161133
Training Dataset 0,1785.506591796875,165.5339813232422,36.299747467041016,35.927391052246094
Training Dataset 1,1251.8675537109375,37.63349533081055,28.68170738220215,25.494239807128906
Training Dataset 2,1084.086181640625,18.730506896972656,20.386554718017578,26.225648880004883
Training Dataset 3,1259.368408203125,22.842161178588867,25.262388229370117,45.21450424194336
Training Dataset 4,0.0,0.0,0.0,0.0
Training Dataset 5,0.0,0.0,0.0,0.0
Training Dataset 6,404.29986572265625,30.746448516845703,21.791168212890625,5.167312145233154
Training Dataset 7,1315.107666015625,58.3426513671875,63.490543365478516,40.53541946411133
Training Dataset 8,782.387451171875,32.85329818725586,14.199358940124512,18.894344329833984
Training Dataset 9,827.7100830078125,18.54335594177246,89.40470123291016,39.33659744262695
