Dataset,CNN,Margin,Cross Entropy,Ordinal
Complete Dataset,74.7882308959961,27.09282684326172,23.305419921875,18.640865325927734
No bias Dataset,139.49148559570312,15.113929748535156,37.80195236206055,24.77022361755371
Training Dataset 0,604.785888671875,86.3612289428711,61.44535446166992,107.50762939453125
Training Dataset 1,89.66242980957031,23.469722747802734,32.14052200317383,22.022775650024414
Training Dataset 2,88.79938507080078,19.984760284423828,25.421598434448242,23.50257682800293
Training Dataset 3,102.91217041015625,43.044769287109375,20.45047378540039,40.76670455932617
Training Dataset 4,92.38090515136719,7.11165189743042,9.685371398925781,8.525745391845703
Training Dataset 5,452.2057189941406,8.408246994018555,26.482463836669922,7.405325412750244
Training Dataset 6,87.74212646484375,13.026464462280273,12.637934684753418,17.335689544677734
Training Dataset 7,325.2157287597656,17.729127883911133,13.119379997253418,71.80636596679688
Training Dataset 8,47.54281997680664,22.513208389282227,15.464312553405762,14.844503402709961
Training Dataset 9,94.53620910644531,12.624911308288574,53.28117752075195,30.056049346923828
