Dataset,CNN,Margin,Cross Entropy,Ordinal
Complete Dataset,51.96662521362305,16.64649772644043,20.369630813598633,24.165102005004883
No bias Dataset,72.34770202636719,58.21599197387695,22.628263473510742,16.90203857421875
Training Dataset 0,144.7024383544922,17.476268768310547,13.660700798034668,29.865116119384766
Training Dataset 1,252.30157470703125,10.143198013305664,11.586652755737305,9.607267379760742
Training Dataset 2,147.84567260742188,9.379392623901367,15.6522855758667,9.308327674865723
Training Dataset 3,270.68756103515625,9.124223709106445,20.99273681640625,10.13235092163086
Training Dataset 4,168.19065856933594,8.859508514404297,9.241546630859375,17.313037872314453
Training Dataset 5,649.3336791992188,36.177040100097656,15.122300148010254,10.262439727783203
Training Dataset 6,29.175556182861328,9.864333152770996,15.729150772094727,16.627784729003906
Training Dataset 7,128.3304443359375,17.19483184814453,18.368894577026367,52.40504455566406
Training Dataset 8,64.20838165283203,13.361993789672852,8.90986442565918,11.469219207763672
Training Dataset 9,73.7816390991211,11.306661605834961,16.060495376586914,15.410390853881836
